大学名,評価数
愛知教育大学,188
豊橋技術科学大学,7
名古屋大学,13
名古屋工業大学,13
愛知県立大学,1
愛知県立看護大学,0
愛知県立芸術大学,0
名古屋市立大学,4
愛知大学,52
愛知医科大学,0
愛知学院大学,0
愛知学泉大学,0
愛知工科大学,0
愛知工業大学,0
愛知産業大学,0
愛知淑徳大学,0
愛知新城大谷大学,0
愛知文教大学,0
愛知みずほ大学,1
桜花学園大学,0
金城学院大学,0
椙山女学園大学,3
星城大学,0
大同工業大学,0
中京大学,14
中京女子大学,0
中部大学,4
東海学園大学,0
同朋大学,0
東邦学園大学,0
豊田工業大学,0
豊橋創造大学,0
名古屋音楽大学,0
名古屋外国語大学,0
名古屋学院大学,0
名古屋学芸大学,0
名古屋経済大学,0
名古屋芸術大学,0
名古屋産業大学,0
名古屋商科大学,5
名古屋女子大学,0
名古屋造形芸術大学,0
名古屋文理大学,1
南山大学,4
日本赤十字豊田看護大学,0
日本福祉大学,0
人間環境大学,0
藤田保健衛生大学,1
名城大学,87
岐阜大学,0
岐阜県立看護大学,0
岐阜薬科大学,5
朝日大学,14
岐阜経済大学,0
岐阜聖徳学園大学,9
岐阜女子大学,0
中京学院大学,0
中部学院大学,0
東海女子大学,0
三重大学,36
三重県立看護大学,0
皇學館大学,1
鈴鹿医療科学大学,0
鈴鹿国際大学,0
松阪大学,0
四日市大学,0
静岡大学,11
浜松医科大学,0
静岡県立大学,0
静岡英和学院大学,0
静岡産業大学,0
静岡福祉大学,0
静岡文化芸術大学,0
静岡理工科大学,8
聖隷クリストファー大学,0
東海大学,1
常葉学園大学,0
浜松大学,1
浜松学院大学,1
富士常葉大学,0